Pure Random,Latin Hypercube,Orthogonal,Number of Iterations
1.583551192968471,1.5950494220806095,1.596154698952116,50
1.5611830532749118,1.5401343824958602,1.534558124999266,100
1.5427104884718037,1.530395445269732,1.534558124999266,150
1.5413910195572962,1.5175777472430854,1.51648086960006,200
1.5176405790961573,1.5215361539866086,1.5171503975778082,400
1.5053255358940851,1.5121113760258393,1.5151418136445631,800
1.506645004808593,1.5095981019029674,1.513133229711318,1000
1.51738925168387,1.508215801135388,1.5064379499338345,1200
1.5031264210365725,1.5096609337560392,1.511124645778073,1400
1.4958379260802441,1.5055140314533006,1.514472285666815,1600
1.5085927922538187,1.5087184559599622,1.5091160618448278,1800
1.4895547407730645,1.5191485435698804,1.5091160618448278,2000
1.4751662464196231,1.5097865974621827,1.505768421956086,2200
1.5035034121550033,1.5147503138548546,1.503759838022841,2400
1.5221644725173267,1.5121742078789109,1.5158113416223116,2600
1.5102264204336853,1.5056396951594444,1.5097855898225763,2800
1.5020582795343518,1.4994821735584083,1.5064379499338345,3000
