Pure Random,Latin Hypercube,Orthogonal,Number of Iterations
1.5954264131990403,1.5841166796461172,1.5906629186631709,50
1.553454735347081,1.5464175678030398,1.545253565821401,100
1.5338511971886806,1.5431503114433065,1.531897873809116,150
1.5205308443374599,1.519902525806742,1.5185421817968305,200
1.5178919065084444,1.5128653582627007,1.525220027802973,400
1.495523766814885,1.5092211107845366,1.519877750998059,800
1.5237981006971932,1.5170122605654393,1.5225488894005161,1000
1.514373322736424,1.505074208481798,1.4945019361747172,1200
1.51738925168387,1.5126140308504137,1.5091931973882309,1400
1.5002989876483415,1.5077131463108135,1.511864335790688,1600
1.5168865968592957,1.513116685674988,1.5105287665894596,1800
1.501052969885203,1.5053255358940851,1.519877750998059,2000
1.5072104914862392,1.5000476602360544,1.5025153513820884,2200
1.5180175702145882,1.5092211107845366,1.5158710433943736,2400
1.4886122629769876,1.509095447078393,1.5091931973882309,2600
